,Goethe University Frankfurt,Frankfurt University of Music and Performing Arts,Provadis School of International Management & Technology Ltd,Hochschule fuer Bildende Kuenste - Staedelschule,Philosophisch-Theologische Hochschule Sankt Georgen,Frankfurt University of Applied Sciences,Frankfurt School of Finance & Management
Altstadt,12,6,46,7,12,11,14
Innenstadt,10,4,46,8,12,10,12
Bahnhofsviertel,12,7,41,6,17,15,15
Westend-Süd,7,7,37,10,21,16,12
Westend-Nord,1,5,43,14,23,10,6
Nordend-West,7,6,51,14,18,4,3
Nordend-Ost,11,9,53,14,16,3,5
Ostend,23,18,53,16,14,15,18
Bornheim,15,14,57,18,20,7,9
Gutleutviertel,18,15,32,9,20,20,20
Gallus,18,15,27,15,27,25,21
Bockenheim,15,17,30,20,32,23,19
Sachsenhausen-N.,17,12,44,6,8,15,18
Sachsenhausen-S.,27,22,46,15,18,26,29
Flughafen,53,49,38,43,47,55,55
Oberrad,28,23,54,17,5,22,24
Niederrad,26,22,32,14,20,28,30
Schwanheim,38,34,19,31,41,45,40
Griesheim,27,24,19,24,36,34,30
Rödelheim,23,25,26,26,37,31,27
Hausen,16,20,33,24,36,23,19
Praunheim,19,23,35,30,42,27,23
Heddernheim,19,21,44,33,37,24,20
Niederursel,26,30,43,37,46,33,29
Ginnheim,13,16,41,25,32,19,14
Dornbusch,12,12,49,21,25,12,8
Eschersheim,16,17,47,28,31,17,15
Eckenheim,13,13,54,21,25,10,9
Preungesheim,16,16,57,21,25,10,13
Bonames,32,31,58,38,42,27,27
Berkersheim,22,21,56,29,33,18,17
Riederwald,24,20,62,25,23,16,18
Seckbach,24,22,66,29,29,16,19
Fechenheim,34,30,65,28,23,25,28
Höchst,41,38,1,39,49,48,43
Nied,32,28,14,27,42,38,34
Sindlingen,54,50,13,50,60,64,56
Zeilsheim,54,50,13,51,61,60,56
Unterliederbach,47,43,7,44,54,53,49
Sossenheim,35,33,17,34,45,41,37
Nieder-Erlenbach,37,36,73,43,47,32,32
Kalbach-Riedberg,31,31,57,40,44,29,29
Harheim,28,28,65,35,38,23,24
Nieder-Eschbach,37,37,62,43,47,32,33
Bergen-Enkheim,33,31,76,37,37,26,28
Frankfurter Berg,23,22,53,29,33,18,18
