,Goethe University Frankfurt,Frankfurt University of Music and Performing Arts,Provadis School of International Management & Technology Ltd,Hochschule fuer Bildende Kuenste - Staedelschule,Philosophisch-Theologische Hochschule Sankt Georgen,Frankfurt University of Applied Sciences,Frankfurt School of Finance & Management
Altstadt,15,9,23,8,11,10,12
Innenstadt,16,10,24,8,11,10,12
Bahnhofsviertel,13,8,20,7,12,13,14
Westend-Süd,7,7,16,12,17,12,10
Westend-Nord,2,5,16,14,17,8,7
Nordend-West,10,9,18,13,15,4,3
Nordend-Ost,12,8,19,12,14,2,4
Ostend,28,20,32,17,17,18,20
Bornheim,17,13,24,17,16,7,9
Gutleutviertel,12,12,15,9,14,16,15
Gallus,13,13,16,14,19,17,16
Bockenheim,10,12,15,19,24,14,13
Sachsenhausen-N.,18,12,24,8,7,14,16
Sachsenhausen-S.,22,19,22,12,14,22,24
Flughafen,17,19,13,17,21,21,20
Oberrad,23,16,26,12,4,16,18
Niederrad,15,17,15,10,16,19,18
Schwanheim,16,18,12,16,24,20,19
Griesheim,16,19,10,18,23,20,19
Rödelheim,12,14,13,21,25,16,15
Hausen,4,6,15,16,18,8,7
Praunheim,9,11,14,21,23,13,12
Heddernheim,11,13,19,22,24,15,14
Niederursel,11,14,21,23,24,16,14
Ginnheim,10,13,19,22,24,15,13
Dornbusch,10,10,20,19,17,10,7
Eschersheim,12,12,21,22,19,14,13
Eckenheim,12,13,23,18,18,7,8
Preungesheim,14,15,23,20,16,9,10
Bonames,18,19,22,25,21,16,15
Berkersheim,12,12,20,16,12,7,8
Riederwald,20,17,29,17,14,12,14
Seckbach,18,18,27,21,17,11,12
Fechenheim,21,20,28,18,14,15,17
Höchst,16,18,1 min,21,28,21,19
Nied,15,17,9,18,26,19,18
Sindlingen,17,20,7,22,27,22,20
Zeilsheim,14,17,9,24,28,19,17
Unterliederbach,10,12,5,19,24,14,13
Sossenheim,12,14,13,20,24,16,15
Nieder-Erlenbach,22,22,27,26,22,17,18
Kalbach-Riedberg,15,17,22,25,21,16,15
Harheim,22,23,26,26,23,17,18
Nieder-Eschbach,18,18,20,25,21,16,15
Bergen-Enkheim,21,20,29,24,19,13,14
Frankfurter Berg,14,15,23,22,18,13,11
