,Goethe University Frankfurt,Frankfurt University of Music and Performing Arts,Provadis School of International Management & Technology Ltd,Hochschule fuer Bildende Kuenste - Staedelschule,Philosophisch-Theologische Hochschule Sankt Georgen,Frankfurt University of Applied Sciences,Frankfurt School of Finance & Management
Altstadt,33,17,141,16,37,34,36
Innenstadt,29,13,142,22,40,29,32
Bahnhofsviertel,32,25,127,13,49,45,44
Westend-Süd,22,21,123,28,63,43,39
Westend-Nord,3,16,138,43,67,27,19
Nordend-West,19,16,155,43,59,8,6
Nordend-Ost,32,24,164,46,54,8,18
Ostend,65,49,178,50,41,47,57
Bornheim,44,40,179,58,62,20,30
Gutleutviertel,56,50,110,32,71,70,69
Gallus,57,52,94,46,84,74,72
Bockenheim,44,51,104,59,97,68,56
Sachsenhausen-N.,49,35,147,12,29,49,54
Sachsenhausen-S.,92,77,147,51,59,93,99
Flughafen,189,184,128,154,181,202,203
Oberrad,83,67,190,55,16,67,77
Niederrad,77,69,106,42,73,90,88
Schwanheim,125,120,58,97,133,141,140
Griesheim,91,86,64,81,119,108,107
Rödelheim,72,78,84,83,121,95,84
Hausen,45,55,108,70,106,68,56
Praunheim,67,77,112,91,128,89,77
Heddernheim,62,71,143,99,122,75,64
Niederursel,89,95,139,118,146,98,87
Ginnheim,38,47,135,73,98,52,40
Dornbusch,30,35,157,65,86,38,27
Eschersheim,54,60,162,89,111,59,51
Eckenheim,42,45,168,72,89,36,29
Preungesheim,59,59,185,87,98,42,43
Bonames,95,101,194,130,144,87,88
Berkersheim,82,85,202,113,124,68,69
Riederwald,72,63,200,75,61,49,59
Seckbach,71,67,207,87,87,48,56
Fechenheim,102,92,224,96,75,78,88
Höchst,137,142,2,135,173,160,149
Nied,105,105,42,99,137,126,117
Sindlingen,182,187,50,171,208,205,194
Zeilsheim,177,182,46,178,216,201,189
Unterliederbach,151,159,26,153,191,175,163
Sossenheim,106,112,52,117,155,129,118
Nieder-Erlenbach,137,140,250,169,180,123,124
Kalbach-Riedberg,101,107,180,136,158,108,98
Harheim,104,107,212,136,146,90,91
Nieder-Eschbach,121,127,212,156,170,113,114
Bergen-Enkheim,113,110,244,125,125,89,96
Frankfurter Berg,77,81,181,110,123,66,67
